season,Name,player_id,team,POS,G,GPitched,IP_corrected,HR,K,BB,HBP,ER,FIP,ERA,FB,FB_PO,FO,flyHits,popOuts,popHits,IP_nonzero,x_FIPFB,x_FIPFBPO
2024,Daniel Zazueta,802568,NAV,P,3,3,1.6666666666666665,0,3,0,0,0,-0.7427205355008368,0.0,0,0,0,0,0,0,1.6666666666666665,-0.7427205355008368,-0.7427205355008368
2024,Luis Gastelum,703725,MOC,P,16,16,17.0,0,25,4,1,2,0.7984559350873992,1.0588235294117647,6,9,6,0,2,1,17.0,1.331971666961544,1.9085128610836042
2024,Fernando Sanchez,685719,OBR,P,2,2,5.0,0,5,0,0,0,0.8572794644991637,0.0,4,5,4,0,1,0,5.0,2.066581790080559,2.9540536580475507
2024,Taiga Kamichatani,829359,GSV,P,2,2,11.333333333333334,0,14,2,0,0,0.9161029939109284,0.0,6,6,5,1,0,0,11.333333333333334,1.716376591722146,2.0261599199071334
2024,Stephen Nogosek,668665,CUL,P,15,15,16.0,0,19,2,1,0,1.0447794644991637,0.0,12,17,11,1,5,0,16.0,2.1785003947317216,3.2726020451443247
2024,Jared Wilson,623441,JAL,P,2,2,2.3333333333333335,0,2,0,0,0,1.1429937502134495,0.0,3,3,3,0,0,0,2.3333333333333335,3.0865153448978346,3.838846284775661
2024,Alejandro Morales,802581,JAL,P,3,3,3.0,0,4,1,0,0,1.190612797832497,0.0,2,4,2,0,2,0,3.0,2.1983647358169933,3.9863117225636797
2024,Jesus Cruz,672911,MXC,P,13,13,13.0,0,19,5,1,3,1.3188179260376252,2.076923076923077,10,16,9,1,6,0,13.0,2.481608623712044,3.8994630873279474
2024,Anibal Cervantes,703716,HER,P,4,4,4.0,0,3,0,0,5,1.3572794644991637,11.25,3,5,3,0,2,0,4.0,2.4910003947317216,3.9782472064346472
2024,Dallas Martinez,622661,OBR,P,2,2,1.3333333333333333,0,1,0,0,0,1.3572794644991637,0.0,1,1,1,0,0,0,1.3333333333333333,2.4910003947317216,2.9298601096604537
2024,Adrian Gusman,616617,JAL,P,11,11,10.666666666666666,0,9,1,0,0,1.4510294644991637,0.0,3,4,3,0,1,0,10.666666666666666,1.876174813336373,2.2373197870798087
2024,Tayron Guerrero,594027,HER,P,8,8,9.666666666666666,0,14,3,2,2,1.5124518782922671,1.8620689655172415,9,9,6,3,0,0,9.666666666666666,2.919829584787857,3.4646209550442144
2024,Fabian Anguamea,642856,GSV,P,14,14,15.666666666666666,0,18,4,1,2,1.51685393258427,1.148936170212766,9,10,7,2,1,0,15.666666666666666,2.38523592169857,2.8552204391045173
2024,Francisco Villegas,666015,MTY,P,7,7,3.0,0,2,0,0,1,1.5239461311658304,3.0,1,2,1,0,1,0,3.0,2.0278221001580783,2.9217955935314217
2024,Trevor Clifton,641461,JAL,P,11,11,12.333333333333334,0,14,4,0,1,1.5599821672018666,0.7297297297297296,8,10,6,2,2,0,12.333333333333334,2.5404975663219167,3.260069351160018
2024,Peyton Gray,682608,GSV,P,8,8,7.0,0,9,3,0,0,1.571565178784878,0.0,4,5,4,0,1,0,7.0,2.4353525542001604,3.0692610313194404
2024,Gabriel Ponce,676362,MXC,P,3,3,2.3333333333333335,0,3,1,0,0,1.5715651787848781,0.0,3,3,2,1,0,0,2.3333333333333335,3.5150867734692635,4.26741771334709
2024,Carlos Martinez,593372,OBR,P,2,2,9.666666666666666,0,10,3,0,6,1.719348430016405,5.586206896551724,9,13,3,6,4,0,9.666666666666666,3.1267261365119947,4.539148207546995
2024,Mario Garcia,678712,MTY,P,8,8,15.333333333333334,0,11,1,1,5,1.8138012036295985,2.9347826086956523,8,14,7,1,6,0,15.333333333333334,2.6024766333565954,3.7282472064346472
2024,Ricky Karcher,676689,HER,P,15,15,19.333333333333332,0,25,9,1,4,1.822796705878474,1.8620689655172415,5,9,4,1,4,0,19.333333333333332,2.2137349576828047,2.7988812442544475
2024,Mario Meza,616405,JAL,P,16,16,15.0,0,15,5,0,2,1.8572794644991637,1.2,13,18,10,3,5,0,15.0,3.1673569838790088,4.373408496757229
2024,Lupe Chavez,660826,MOC,P,10,10,18.0,0,18,5,1,5,1.8572794644991637,2.5,11,19,9,2,7,1,18.0,2.781052074318285,4.070541113244683
2024,Jake Sanchez,644425,MXC,P,16,16,15.333333333333334,0,16,6,0,2,1.944235986238294,1.1739130434782608,8,14,7,1,5,1,15.333333333333334,2.732911415965291,3.858681989043343
2024,Eli Villalobos,681871,MXC,P,17,17,12.666666666666666,0,11,4,0,4,2.067805780288637,2.842105263157895,10,14,9,1,4,0,12.666666666666666,3.2611962331650144,4.385293046842118
2024,Clayton Andrews,677076,MXC,P,12,12,9.0,0,11,4,1,5,2.079501686721386,5.0,3,5,2,1,2,0,9.0,2.583377655713634,3.244376238692712
2024,Luis Aguayo,827653,CUL,P,3,3,4.0,0,6,3,0,1,2.1072794644991637,2.25,2,3,1,1,1,0,4.0,2.863093417987536,3.6798601096604537
2024,Fernando Burgueno,683114,MAZ,P,3,3,4.0,0,3,1,0,2,2.1072794644991637,4.5,5,8,2,3,3,0,4.0,3.996814348220094,6.300827851595938
2024,Carlos Medina,802392,MTY,X,3,3,2.6666666666666665,0,4,2,0,3,2.1072794644991637,10.125,0,1,0,0,1,0,2.6666666666666665,2.1072794644991637,2.893569787079809
2024,David Reyes,547862,MXC,P,7,7,41.0,1,35,6,3,12,2.125572147425993,2.6341463414634143,32,45,29,3,13,0,41.0,2.988306123602964,4.109836506198612
2024,Victor Morales,802559,MAZ,P,10,10,7.0,0,10,5,0,2,2.1429937502134493,2.571428571428571,4,5,4,0,1,0,7.0,3.006781125628732,3.6406896027480116
2024,Juan Salas,692401,MTY,P,6,6,23.0,1,31,11,0,10,2.1616272905861202,3.9130434782608696,13,19,12,1,6,0,23.0,2.4508082814860193,3.328527711343484
2024,Adrián Martínez,661309,MXC,P,4,4,16.333333333333332,0,13,4,1,9,2.1838100767440616,4.959183673469388,9,13,6,3,4,0,16.333333333333332,3.01674790303737,3.8526711695682883
2024,Dan Kubiuk,703655,GSV,P,15,15,15.0,1,16,2,1,1,2.190612797832497,0.6,8,10,7,1,2,0,15.0,2.130147681553427,2.7217955935314215
2024,Patricio Ress,691928,MXC,P,5,5,4.666666666666667,0,3,1,0,1,2.214422321642021,1.9285714285714284,3,3,3,0,0,0,4.666666666666667,3.1861831189842134,3.5623485889231263
2024,Axel Sauceda,806317,CUL,P,4,4,4.666666666666667,0,3,1,0,2,2.214422321642021,3.8571428571428568,7,10,6,1,3,0,4.666666666666667,4.481864182107136,6.707509879245707
2024,Carlos Machorro,660420,CUL,P,6,6,4.666666666666667,0,6,3,0,5,2.214422321642021,9.642857142857142,3,3,2,1,0,0,4.666666666666667,3.1861831189842134,3.5623485889231263
2024,Matt Turner,676666,MTY,P,16,16,16.666666666666668,1,19,5,0,3,2.2572794644991636,1.6199999999999999,7,10,5,2,3,0,16.666666666666668,2.112163185429396,2.735343980628196
2024,Fabian Cota,601978,MOC,P,16,16,16.0,0,12,4,1,0,2.2947794644991637,0.0,14,17,11,3,3,0,16.0,3.6174538831038148,4.522602045144325
2024,Alejandro Soto,465038,MAZ,P,8,8,7.333333333333333,0,5,2,0,0,2.3118249190446183,0.0,10,12,8,2,2,0,7.333333333333333,4.373135701285634,5.742909963032888
