season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,673,Aguilas de Mexicali,547862,David Reyes,1,0.5,3.18,69,0.419,0.294,0.344,0.638,12.18,1.06,0.0,9.53,11.5,0,0,5,1,1,1,1,0,4,0,2,9,0,0,0,141,46,44,9,68.0,15.94,3.928,2.9,33.3,0.0,0.087,0.063,7,4,2,13,0,0,11,7,MXC,183,44,86,40,SP,0,23,2,271,0.281,0.0,17.0,32.6,15.9,45.5,29.5,9.1,30.4,31.7,14.8,63.8
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,1.0,0.82,38,0.083,0.108,0.088,0.196,9.0,1.64,0.0,1.64,5.5,0,0,0,0,0,0,1,0,1,0,1,5,0,0,0,73,21,25,2,63.0,14.36,4.158,5.3,28.9,0.0,0.182,0.029,6,2,2,13,0,0,1,1,MXC,100,21,48,27,SP,0,11,2,158,0.059,0.0,13.3,28.8,24.0,56.0,12.0,8.0,23.6,30.4,17.1,55.3
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,,5.4,29,0.286,0.345,0.333,0.678,12.15,6.75,1.35,6.75,1.8,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,47,13,15,7,56.0,19.8,4.552,17.2,31.0,0.034,0.556,0.125,0,4,0,6,2,0,2,1,MXC,74,17,39,26,SP,1,9,5,132,0.208,50.0,9.8,27.7,13.3,46.7,13.3,26.7,13.8,29.5,19.7,58.6
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,,1.8,21,0.267,0.286,0.211,0.497,7.2,3.6,0.0,7.20,2.0,0,0,0,0,1,0,0,5,0,0,0,3,0,0,0,43,10,15,0,61.0,18.4,4.381,9.5,19.0,0.0,0.5,0.0,2,3,1,5,0,0,3,1,MXC,56,7,23,13,RP,0,4,2,92,0.211,0.0,10.9,23.3,13.3,40.0,26.7,20.0,9.5,25.0,14.1,33.3
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,1.0,3.72,39,0.321,0.308,0.361,0.669,7.45,1.86,0.0,8.38,4.0,0,0,1,0,3,1,0,0,4,0,1,5,2,0,0,70,15,28,5,63.0,16.55,4.103,5.1,20.5,0.0,0.25,0.111,5,2,3,9,2,0,5,2,MXC,101,21,46,31,SP,0,8,2,160,0.25,0.0,9.4,21.4,25.0,39.3,28.6,7.1,15.4,28.7,19.4,53.8
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,,1.93,23,0.462,0.478,0.389,0.867,9.64,5.79,0.0,11.57,1.67,4,1,4,1,0,1,0,1,1,0,0,1,1,0,0,30,5,13,2,58.0,17.36,3.522,13.0,21.7,0.0,0.6,0.056,2,0,0,5,1,0,4,1,MXC,47,12,19,14,RP,0,5,3,81,0.333,0.0,6.2,16.7,23.1,46.2,30.8,0.0,8.7,23.5,17.3,52.2
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,,3.38,13,0.273,0.308,0.273,0.581,3.38,3.38,0.0,10.13,1.0,3,2,2,1,0,0,0,1,0,0,0,3,1,0,0,23,1,11,0,60.0,19.5,4.0,7.7,7.7,0.0,1.0,0.0,3,0,1,4,0,0,2,1,MXC,31,6,9,8,RP,0,1,1,52,0.273,0.0,1.9,4.3,27.3,45.5,27.3,0.0,0.0,17.3,15.4,46.2
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,1.0,0.0,21,0.182,0.19,0.105,0.295,12.0,3.0,0.0,3.00,4.0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,56,15,11,6,65.0,18.17,5.19,9.5,38.1,0.0,0.25,0.0,4,4,0,1,1,0,1,0,MXC,71,14,30,15,RP,0,8,2,109,0.105,0.0,13.8,26.8,45.5,9.1,9.1,36.4,28.6,27.5,13.8,66.7
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,0.0,11.57,13,0.5,0.5,0.375,0.875,15.43,11.57,0.0,7.71,1.33,2,1,2,1,0,0,0,0,1,0,0,1,1,0,0,24,9,5,1,58.0,25.71,4.615,23.1,30.8,0.0,0.75,0.125,0,0,0,3,0,0,1,1,MXC,35,6,20,11,RP,0,4,3,60,0.25,,15.0,37.5,0.0,80.0,20.0,0.0,7.7,33.3,18.3,46.2
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,1.0,1.5,22,0.278,0.273,0.286,0.559,4.5,1.5,0.0,7.50,3.0,8,2,0,0,0,0,0,2,1,0,1,2,1,0,0,42,11,18,4,65.0,13.0,3.545,4.5,13.6,0.0,0.333,0.048,5,2,0,6,0,0,2,3,MXC,51,15,20,9,RP,0,3,1,78,0.238,0.0,14.1,26.2,27.8,50.0,11.1,11.1,9.1,25.6,11.5,68.2
