season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,673,Aguilas de Mexicali,547862,David Reyes,1,0.667,2.45,89,0.362,0.284,0.305,0.589,10.64,1.23,0.0,8.59,8.67,0,0,5,1,1,1,1,0,4,0,2,11,0,0,0,164,48,59,11,66.0,15.23,3.764,3.4,29.2,0.0,0.115,0.049,13,5,3,17,1,0,12,8,MXC,220.0,53.0,102.0,54.0,SP,0,26,3,335,0.256,1,2,21,82,6,0.0,14.3,29.3,23.7,42.4,25.4,8.5,25.8,30.4,16.1,59.6
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,1.0,2.14,77,0.217,0.189,0.229,0.418,10.29,1.29,0.43,4.71,8.0,0,0,0,0,0,1,1,0,2,0,1,11,0,0,0,141,39,50,6,67.0,14.29,3.896,3.9,31.2,0.013,0.125,0.071,11,4,4,20,0,0,7,4,MXC,153.0,35.0,75.0,44.0,SP,1,24,3,300,0.157,0,1,11,70,5,9.1,13.0,27.7,22.0,48.0,22.0,8.0,27.3,25.0,14.7,45.5
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,,5.91,48,0.273,0.354,0.45,0.804,12.66,5.91,2.53,7.59,2.14,0,0,1,1,1,0,0,0,0,0,2,4,0,0,0,77,22,25,7,58.0,18.94,4.208,14.6,31.3,0.063,0.467,0.225,4,4,0,8,2,0,6,1,MXC,118.0,31.0,62.0,40.0,SP,3,15,7,202,0.225,1,0,9,40,7,50.0,10.9,28.6,24.0,36.0,24.0,16.0,16.7,30.7,19.8,64.6
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,,0.82,44,0.214,0.279,0.162,0.441,7.36,4.91,0.0,4.91,1.5,0,0,0,0,3,0,0,10,0,0,1,7,0,0,0,90,22,29,0,59.0,17.82,4.455,13.6,20.5,0.0,0.667,0.0,5,5,1,12,0,1,4,1,MXC,106.0,17.0,41.0,22.0,RP,0,9,6,196,0.162,0,0,6,37,1,0.0,11.2,24.4,17.2,44.8,17.2,20.7,6.9,20.9,11.2,38.6
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,0.5,4.96,68,0.34,0.324,0.397,0.721,7.16,2.2,0.0,9.37,3.25,0,0,3,0,6,1,0,0,6,1,1,8,2,0,0,123,33,50,9,63.0,16.53,3.971,5.9,19.1,0.0,0.308,0.127,6,4,3,20,3,0,9,5,MXC,170.0,40.0,80.0,47.0,SP,0,13,4,270,0.27,1,0,17,63,9,0.0,12.2,26.8,18.0,50.0,24.0,8.0,13.2,29.6,17.4,58.8
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,0.0,3.52,37,0.4,0.444,0.321,0.765,9.39,7.04,0.0,9.39,1.33,5,2,7,2,1,1,0,1,1,0,0,4,2,0,0,52,10,21,2,57.0,17.74,3.676,16.2,21.6,0.0,0.75,0.036,3,2,0,8,1,0,5,2,MXC,75.0,19.0,30.0,21.0,RP,0,8,6,136,0.286,2,0,8,28,3,0.0,7.4,19.2,19.0,47.6,23.8,9.5,5.4,22.1,15.4,51.4
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,,10.8,18,0.286,0.333,0.267,0.6,5.4,5.4,0.0,10.80,1.0,5,2,5,4,1,0,0,1,0,0,0,3,2,0,0,31,4,14,0,58.0,20.7,3.833,11.1,11.1,0.0,1.0,0.0,3,0,1,6,0,0,2,2,MXC,40.0,8.0,13.0,9.0,RP,0,2,2,69,0.267,0,1,4,15,4,0.0,5.8,12.9,21.4,57.1,21.4,0.0,0.0,18.8,13.0,44.4
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,1.0,0.82,40,0.15,0.2,0.088,0.288,12.27,4.09,0.0,2.45,3.0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,100,32,20,11,63.0,18.45,5.075,12.5,37.5,0.0,0.333,0.0,7,6,1,3,1,0,1,1,MXC,115.0,19.0,55.0,25.0,RP,0,15,5,203,0.088,0,1,3,34,1,0.0,15.8,32.0,40.0,20.0,10.0,30.0,25.0,27.1,12.3,47.5
2024,673,Aguilas de Mexicali,675132,Yamil Castillo,1,1.0,3.38,11,0.2,0.273,0.636,0.909,0.0,0.0,3.38,10.13,,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,22,2,11,5,69.0,13.5,3.273,0.0,0.0,0.091,,0.364,1,3,0,4,1,0,2,0,MXC,25.0,8.0,5.0,3.0,RP,1,0,0,36,0.273,0,0,3,11,1,50.0,5.6,9.1,18.2,36.4,18.2,27.3,0.0,13.9,8.3,72.7
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,0.0,4.5,25,0.25,0.292,0.2,0.492,12.0,4.5,0.0,4.50,2.67,4,2,2,1,0,0,0,1,1,0,0,3,1,0,0,50,16,13,1,65.0,18.33,4.4,12.0,32.0,0.0,0.375,0.05,1,2,1,6,0,0,1,2,MXC,62.0,11.0,35.0,19.0,RP,0,8,3,110,0.15,1,0,3,20,3,0.0,14.5,32.0,7.7,61.5,15.4,15.4,20.0,31.8,17.3,44.0
