season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,ER,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,673,Aguilas de Mexicali,547862,David Reyes,1,0.75,3.18,141,0.309,0.283,0.305,0.588,8.47,1.59,0.26,8.21,5.33,0,0,8,3,1,1,1,0,5,0,2,19,1,0,0,255,72,101,18,65.0,15.32,3.695,4.3,22.7,0.007,0.188,0.063,22,11,5,32,2,0,16,13,MXC,339,89,154,82,SP,1,32,6,521,0.242,2,2,31,128,12,11,4.2,13.8,28.2,23.8,44.6,20.8,10.9,18.4,29.6,15.7,63.1
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,0.5,2.33,100,0.22,0.196,0.272,0.468,10.67,1.33,0.67,5.00,8.0,0,0,0,0,0,1,2,0,2,1,1,11,0,0,0,185,56,64,6,68.0,14.37,3.88,4.0,32.0,0.02,0.125,0.109,12,4,5,28,0,0,11,4,MXC,262,63,133,77,SP,2,32,4,388,0.163,0,1,15,92,7,7,16.7,14.4,30.3,18.8,50.0,25.0,6.2,28.0,34.3,19.8,63.0
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,0.0,4.82,80,0.262,0.346,0.424,0.77,9.64,5.3,1.93,7.23,1.82,0,0,3,2,2,0,0,0,1,0,3,9,0,0,0,125,34,48,10,56.0,18.11,4.225,13.8,25.0,0.05,0.55,0.197,10,6,0,17,4,0,9,2,MXC,189,45,96,62,SP,4,20,11,338,0.227,1,0,15,66,10,9,28.6,10.1,27.2,29.2,39.6,18.8,12.5,11.2,28.4,18.3,56.2
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,,0.6,57,0.206,0.232,0.16,0.392,9.6,3.6,0.0,4.20,2.67,0,0,0,0,3,0,0,13,1,0,1,7,0,0,0,119,35,35,0,61.0,17.07,4.491,10.5,28.1,0.0,0.375,0.02,7,5,3,13,0,1,5,1,MXC,157,26,73,38,RP,0,16,6,256,0.14,0,0,7,50,1,1,0.0,13.7,29.4,20.0,40.0,22.9,17.1,17.6,28.5,14.8,45.6
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,0.5,4.96,68,0.34,0.324,0.397,0.721,7.16,2.2,0.0,9.37,3.25,0,0,3,0,6,1,0,0,6,1,1,8,2,0,0,123,33,50,9,63.0,16.53,3.971,5.9,19.1,0.0,0.308,0.127,6,4,3,20,3,0,9,5,MXC,170,40,80,47,SP,0,13,4,270,0.27,1,0,17,63,9,9,0.0,12.2,26.8,18.0,50.0,24.0,8.0,13.2,29.6,17.4,58.8
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,0.0,4.5,47,0.36,0.422,0.286,0.708,9.0,7.2,0.0,8.10,1.25,5,2,10,4,1,1,0,2,1,0,1,6,2,0,0,65,14,27,2,56.0,18.2,3.872,17.0,21.3,0.0,0.8,0.029,3,3,0,12,1,0,6,2,MXC,102,24,47,33,RP,0,10,8,182,0.257,2,0,9,35,5,4,0.0,7.7,21.5,14.8,51.9,22.2,11.1,4.3,25.8,18.1,51.1
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,,10.8,20,0.286,0.4,0.267,0.667,5.4,10.8,0.0,10.80,0.5,7,3,7,4,1,0,0,1,0,0,0,3,2,0,0,31,4,14,0,53.0,23.4,3.9,20.0,10.0,0.0,2.0,0.0,3,0,1,6,0,0,2,2,MXC,41,8,14,10,RP,0,2,4,78,0.267,0,1,4,15,4,3,0.0,5.1,12.9,21.4,57.1,21.4,0.0,-10.0,17.9,12.8,40.0
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,1.0,0.82,40,0.15,0.2,0.088,0.288,12.27,4.09,0.0,2.45,3.0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,100,32,20,11,63.0,18.45,5.075,12.5,37.5,0.0,0.333,0.0,7,6,1,3,1,0,1,1,MXC,127,22,58,26,RP,0,15,5,203,0.088,0,1,3,34,1,1,0.0,15.8,32.0,40.0,20.0,10.0,30.0,25.0,28.6,12.8,55.0
2024,673,Aguilas de Mexicali,675132,Yamil Castillo,1,1.0,6.75,25,0.167,0.32,0.381,0.701,3.38,5.06,1.69,6.75,0.67,8,5,3,3,0,0,0,1,1,0,0,1,1,0,0,41,7,19,5,57.0,17.25,3.68,12.0,8.0,0.04,1.5,0.19,2,3,0,10,1,0,2,1,MXC,52,15,18,11,RP,1,2,3,92,0.19,1,0,4,21,4,3,33.3,7.6,17.1,15.8,57.9,10.5,15.8,-4.0,19.6,12.0,60.0
2024,673,Aguilas de Mexicali,676362,Gabriel Ponce,1,,0.0,3,0.0,0.333,0.0,0.333,13.5,13.5,0.0,0.00,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,50.0,21.0,4.667,33.3,33.3,0.0,1.0,0.0,1,0,0,0,0,0,0,0,MXC,7,2,4,3,RP,0,1,1,14,0.0,0,0,0,2,0,0,0.0,7.1,25.0,100.0,0.0,0.0,0.0,0.0,28.6,21.4,66.7
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,0.0,5.0,38,0.238,0.27,0.219,0.489,11.0,4.0,0.0,5.00,2.75,5,2,3,2,3,0,0,1,2,0,0,4,1,0,0,66,19,22,2,63.0,18.0,4.263,10.5,28.9,0.0,0.364,0.063,2,2,2,11,1,0,2,2,MXC,102,20,54,35,RP,0,11,4,162,0.156,1,0,5,32,5,5,0.0,11.7,28.8,13.6,59.1,18.2,9.1,18.4,33.3,21.6,52.6
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,1.0,2.84,51,0.286,0.28,0.283,0.563,7.82,2.84,0.0,7.11,2.75,11,3,2,1,0,0,0,2,3,0,1,5,1,0,0,97,29,36,5,62.0,15.55,3.863,7.8,21.6,0.0,0.364,0.065,9,4,0,13,1,0,5,4,MXC,123,31,54,25,RP,0,11,4,197,0.217,0,0,10,46,4,4,0.0,14.7,29.9,27.8,47.2,13.9,11.1,13.8,27.4,12.7,60.8
