season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,IP_numeric,QS
2024,673,Aguilas de Mexicali,683138,Fernando Lozano,1,SP,4,4,26,22,1,4,0,1,15,4,0,13,1,0.171,76,0.222,0.263,0.485,1,2,66.7,2,318,0.42,21.2,2,0,0,0,0,0,1,0.78,81,65,4,0,0,190,0.6,1,0,0,0,20,1.18,1.0,14.68,0,3.75,6.23,1.66,5.4,0.42,0.42,0,0,0,0,0,MXC,21.666666666666668,1
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,RP,12,0,12,11,1,0,0,0,12,6,0,6,0,0.15,40,0.261,0.15,0.411,0,3,100.0,1,211,0.75,12.0,0,0,10,10,0,0,1,1.0,47,36,12,0,0,126,0.6,0,0,0,0,6,1.09,,17.58,11,2.0,9.0,4.5,4.5,0.75,0.0,0,0,0,1,0,MXC,12.0,0
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,RP,11,0,3,14,1,0,0,0,15,5,1,3,0,0.088,34,0.2,0.088,0.288,1,0,0.0,0,203,0.82,11.0,3,0,0,1,6,1,1,0.73,40,33,11,0,0,127,0.63,0,0,1,0,3,0.21,1.0,18.45,0,3.0,12.27,4.09,2.45,0.82,0.0,0,0,0,0,1,MXC,11.0,0
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,SP,4,4,20,19,5,2,0,1,24,3,0,11,0,0.157,70,0.189,0.229,0.418,1,0,0.0,1,300,2.14,21.0,1,0,0,0,0,0,5,0.67,77,63,4,0,0,200,0.67,0,0,0,0,16,1.05,1.0,14.29,0,8.0,10.29,1.29,4.71,2.14,0.43,0,0,0,3,1,MXC,21.0,1
2024,673,Aguilas de Mexicali,547862,David Reyes,1,SP,5,5,24,28,8,5,0,0,31,4,0,25,1,0.238,105,0.268,0.286,0.554,1,1,50.0,2,435,2.28,27.2,3,1,0,0,0,0,7,1.05,113,83,5,0,0,285,0.66,1,0,1,0,30,0.86,0.75,15.72,0,7.75,10.08,1.3,8.13,2.6,0.0,0,0,0,1,2,MXC,27.666666666666668,1
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,RP,9,0,8,5,3,1,0,0,8,6,0,8,2,0.286,28,0.444,0.321,0.765,1,1,50.0,0,136,2.35,7.2,0,1,0,0,3,0,2,1.83,37,23,9,0,0,78,0.57,2,0,2,0,9,1.6,0.0,17.74,1,1.33,9.39,7.04,9.39,3.52,0.0,5,2,0,1,0,MXC,7.666666666666667,0
2024,673,Aguilas de Mexicali,690909,Daniel Cruz,1,RP,5,0,8,4,2,0,0,1,6,2,1,5,0,0.227,22,0.292,0.364,0.656,0,0,,0,85,3.0,6.0,0,0,0,0,0,0,2,1.17,25,18,5,0,0,55,0.65,0,0,0,0,8,2.0,,14.17,2,3.0,9.0,3.0,7.5,3.0,1.5,4,3,0,1,0,MXC,6.0,0
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,RP,12,0,9,9,3,2,0,0,7,3,0,8,0,0.25,32,0.314,0.313,0.627,0,0,,1,127,3.12,8.2,2,0,0,0,5,0,3,1.27,36,26,12,0,0,84,0.66,0,0,1,0,10,1.0,1.0,14.65,2,2.33,7.27,3.12,8.31,3.12,0.0,9,2,0,1,0,MXC,8.666666666666666,0
2024,673,Aguilas de Mexicali,810862,Angel Lopez,1,RP,7,0,6,3,3,2,0,0,8,1,0,4,2,0.19,21,0.292,0.286,0.578,0,1,100.0,0,102,3.18,5.2,0,1,0,0,1,0,2,0.88,24,17,7,0,0,64,0.63,2,0,2,0,6,2.0,0.0,18.0,1,8.0,12.71,1.59,6.35,4.76,0.0,6,1,0,0,0,MXC,5.666666666666667,0
2024,673,Aguilas de Mexicali,691928,Patricio Ress,1,RP,3,0,1,3,1,1,0,0,2,1,0,5,0,0.455,11,0.5,0.545,1.045,1,0,0.0,0,44,3.38,2.2,0,1,0,0,0,0,1,2.25,12,8,3,0,0,26,0.59,0,0,0,0,6,0.33,0.0,16.5,1,2.0,6.75,3.38,16.88,3.38,0.0,3,1,0,0,0,MXC,2.6666666666666665,0
