season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,QS
2024,673,Aguilas de Mexicali,676362,Gabriel Ponce,1,RP,4,0,3,2,0,0,0,0,7,1,0,2,0,0.154,13,0.214,0.154,0.368,0,0,,0,55,0.0,4.0,0,0,0,0,2,0,0,0.75,15,12,4,0,0,37,0.67,0,0,0,0,2,1.5,,13.75,1,7.0,15.75,2.25,4.5,0.0,0.0,3,0,0,1,0,MXC,0
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,RP,16,0,14,15,2,1,1,0,16,6,0,9,0,0.17,53,0.254,0.226,0.48,0,3,100.0,1,267,1.17,15.1,0,1,11,12,0,1,2,0.98,60,46,16,0,0,165,0.62,0,0,0,0,12,0.93,0.0,17.41,14,2.67,9.39,3.52,5.28,1.17,0.0,1,1,0,1,0,MXC,0
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,RP,14,0,4,17,3,0,1,0,20,5,1,7,1,0.149,47,0.241,0.191,0.432,1,0,0.0,0,251,1.93,14.0,3,0,0,1,7,1,3,0.86,54,42,14,0,0,163,0.65,1,0,2,0,9,0.24,1.0,17.93,2,4.0,12.86,3.21,4.5,1.93,0.0,1,0,0,0,1,MXC,0
2024,673,Aguilas de Mexicali,691928,Patricio Ress,1,RP,5,0,3,5,1,1,0,0,3,1,0,5,0,0.313,16,0.353,0.375,0.728,2,0,0.0,0,69,1.93,4.2,0,1,0,0,0,0,1,1.29,17,14,5,0,0,40,0.58,0,0,0,0,6,0.6,0.0,14.79,2,3.0,5.79,1.93,9.64,1.93,0.0,7,2,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,SP,6,6,35,25,9,2,1,3,36,6,0,18,1,0.164,110,0.212,0.282,0.494,1,0,0.0,1,479,2.53,32.0,1,2,0,0,0,0,9,0.75,121,96,6,0,0,318,0.66,1,0,1,0,31,1.4,0.333,14.97,0,6.0,10.13,1.69,5.06,2.53,0.84,0,0,0,3,1,MXC,2
2024,673,Aguilas de Mexicali,547862,David Reyes,1,SP,7,7,37,50,13,6,0,1,35,6,0,36,3,0.235,153,0.274,0.294,0.568,1,1,50.0,2,600,2.63,41.0,3,2,0,0,0,0,12,1.02,167,123,7,0,0,394,0.66,3,0,1,0,45,0.74,0.6,14.63,0,5.83,7.68,1.32,7.9,2.85,0.22,0,0,0,3,2,MXC,2
2024,673,Aguilas de Mexicali,683138,Fernando Lozano,1,SP,7,7,44,37,12,6,0,2,29,13,0,29,1,0.212,137,0.281,0.299,0.58,2,3,60.0,4,586,2.79,38.2,3,2,0,0,0,0,12,1.09,153,116,7,0,0,349,0.6,1,0,0,0,41,1.19,0.6,15.16,0,2.23,6.75,3.03,6.75,2.79,0.47,0,0,0,0,2,MXC,2
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,RP,17,0,13,13,4,3,0,0,11,4,0,10,0,0.217,46,0.28,0.283,0.563,0,0,,1,197,2.84,12.2,2,0,0,0,5,0,4,1.11,51,38,17,0,0,123,0.62,0,0,1,0,13,1.0,1.0,15.55,2,2.75,7.82,2.84,7.11,2.84,0.0,11,3,0,1,0,MXC,0
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,RP,14,0,13,7,5,1,0,0,14,8,0,11,2,0.256,43,0.396,0.279,0.675,1,1,50.0,1,222,3.0,12.0,0,1,0,0,3,0,4,1.58,55,36,14,0,0,127,0.57,2,0,2,0,12,1.86,0.0,18.5,2,1.75,10.5,6.0,8.25,3.75,0.0,5,2,0,2,0,MXC,0
2024,673,Aguilas de Mexicali,805321,Trevor Kuncl,1,RP,13,0,9,10,6,1,0,1,16,5,0,7,0,0.171,41,0.255,0.268,0.523,0,1,100.0,0,219,3.75,12.0,0,0,0,0,9,0,5,1.0,47,36,13,0,0,139,0.63,0,0,0,0,11,0.9,,18.25,0,3.2,12.0,3.75,5.25,4.5,0.75,0,0,0,0,1,MXC,0
2024,673,Aguilas de Mexicali,810862,Angel Lopez,1,RP,13,0,10,6,5,3,0,1,11,5,0,11,2,0.289,38,0.4,0.447,0.847,0,1,100.0,0,201,4.0,9.0,0,1,0,0,3,0,4,1.78,45,27,13,0,0,118,0.59,2,1,2,0,17,1.67,0.0,22.33,1,2.2,11.0,5.0,11.0,5.0,1.0,12,3,0,0,0,MXC,0
