date,code,description,ballColor,isStrike,isBall,eventType,ball_count,strike_count,strikeZoneTop,strikeZoneBottom,x,y,pitchNumber,pitcher_name,pitcher_id,pitch_hand,batter_name,batter_id,bat_side
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,1,3.319,1.513,93.98,138.38,1,Wilmer Rios,658140,Right,Randy Romero,678499,Right
2024-10-21,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,2,3.319,1.513,97.12,135.0,2,Wilmer Rios,658140,Right,Randy Romero,678499,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,1,2,3.319,1.513,54.43,141.28,3,Wilmer Rios,658140,Right,Randy Romero,678499,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,2,2,3.319,1.513,54.43,141.28,4,Wilmer Rios,658140,Right,Randy Romero,678499,Right
2024-10-21,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,2,3,3.319,1.513,116.0,88.14,5,Wilmer Rios,658140,Right,Randy Romero,678499,Right
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,single,0,1,3.285,1.487,93.53,149.49,1,Wilmer Rios,658140,Right,Brayan Quintero,678540,Right
2024-10-21,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,single,0,2,3.285,1.487,91.28,126.79,2,Wilmer Rios,658140,Right,Brayan Quintero,678540,Right
2024-10-21,D,"In play, no out","rgba(26, 86, 190, 1.0)",False,False,single,0,2,3.285,1.487,104.76,148.53,3,Wilmer Rios,658140,Right,Brayan Quintero,678540,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,grounded_into_double_play,1,0,3.549,1.627,58.02,139.83,1,Wilmer Rios,658140,Right,Alex Liddi,499926,Right
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,grounded_into_double_play,1,1,3.549,1.627,116.9,136.45,2,Wilmer Rios,658140,Right,Alex Liddi,499926,Right
2024-10-21,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,grounded_into_double_play,1,1,3.549,1.627,97.57,144.66,3,Wilmer Rios,658140,Right,Alex Liddi,499926,Right
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,1,3.49,1.601,94.88,141.28,1,Nolan Kingham,663884,Right,Agustin Murillo,473242,Right
2024-10-21,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,2,3.49,1.601,120.94,148.05,2,Nolan Kingham,663884,Right,Agustin Murillo,473242,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,2,3.49,1.601,146.56,112.78,3,Nolan Kingham,663884,Right,Agustin Murillo,473242,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,2,2,3.49,1.601,116.9,80.89,4,Nolan Kingham,663884,Right,Agustin Murillo,473242,Right
2024-10-21,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,field_out,2,2,3.49,1.601,93.98,142.73,5,Nolan Kingham,663884,Right,Agustin Murillo,473242,Right
2024-10-21,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,2,2,3.49,1.601,115.55,141.76,6,Nolan Kingham,663884,Right,Agustin Murillo,473242,Right
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,1,3.411,1.565,93.08,153.84,1,Nolan Kingham,663884,Right,Nicholas Torres,657051,Right
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,2,3.411,1.565,85.44,152.88,2,Nolan Kingham,663884,Right,Nicholas Torres,657051,Right
2024-10-21,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,3,3.411,1.565,67.91,159.16,3,Nolan Kingham,663884,Right,Nicholas Torres,657051,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,1,0,3.1,1.46,163.19,133.55,1,Nolan Kingham,663884,Right,Willie Calhoun,641432,Left
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,1,1,3.1,1.46,116.0,147.56,2,Nolan Kingham,663884,Right,Willie Calhoun,641432,Left
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,2,1,3.1,1.46,150.16,149.98,3,Nolan Kingham,663884,Right,Willie Calhoun,641432,Left
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,3,1,3.1,1.46,149.71,149.49,4,Nolan Kingham,663884,Right,Willie Calhoun,641432,Left
2024-10-21,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,strikeout,3,2,3.1,1.46,120.49,151.91,5,Nolan Kingham,663884,Right,Willie Calhoun,641432,Left
2024-10-21,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,strikeout,3,2,3.1,1.46,120.49,151.91,6,Nolan Kingham,663884,Right,Willie Calhoun,641432,Left
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,3,3,3.1,1.46,83.19,157.71,7,Nolan Kingham,663884,Right,Willie Calhoun,641432,Left
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,1,3.301,1.504,102.07,151.43,1,Wilmer Rios,658140,Right,Dilson Herrera,599096,Right
2024-10-21,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,0,1,3.301,1.504,113.75,145.63,2,Wilmer Rios,658140,Right,Dilson Herrera,599096,Right
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,1,3.411,1.565,115.55,127.75,1,Wilmer Rios,658140,Right,Carlos Castro,622603,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,1,3.411,1.565,62.07,160.61,2,Wilmer Rios,658140,Right,Carlos Castro,622603,Right
2024-10-21,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,1,1,3.411,1.565,84.99,144.18,3,Wilmer Rios,658140,Right,Carlos Castro,622603,Right
2024-10-21,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,walk,0,1,3.371,1.535,95.33,147.56,1,Wilmer Rios,658140,Right,Jose Gaitan,668165,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,1,1,3.371,1.535,130.38,92.97,2,Wilmer Rios,658140,Right,Jose Gaitan,668165,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,2,1,3.371,1.535,40.94,148.05,3,Wilmer Rios,658140,Right,Jose Gaitan,668165,Right
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,walk,2,2,3.371,1.535,88.58,132.1,4,Wilmer Rios,658140,Right,Jose Gaitan,668165,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,3,2,3.371,1.535,115.1,83.3,5,Wilmer Rios,658140,Right,Jose Gaitan,668165,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,4,2,3.371,1.535,53.98,160.12,6,Wilmer Rios,658140,Right,Jose Gaitan,668165,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,0,3.319,1.513,140.72,134.52,1,Wilmer Rios,658140,Right,Ramiro Pena,455369,Left
2024-10-21,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,1,0,3.319,1.513,116.0,148.53,2,Wilmer Rios,658140,Right,Ramiro Pena,455369,Left
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,1,3.24,1.54,133.08,153.36,1,Nolan Kingham,663884,Right,Jordan Diaz,672478,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,1,3.24,1.54,150.16,145.15,2,Nolan Kingham,663884,Right,Jordan Diaz,672478,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,2,1,3.24,1.54,54.43,144.18,3,Nolan Kingham,663884,Right,Jordan Diaz,672478,Right
2024-10-21,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,2,1,3.24,1.54,89.93,130.65,4,Nolan Kingham,663884,Right,Jordan Diaz,672478,Right
2024-10-21,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,1,0,3.371,1.535,,,1,Nolan Kingham,663884,Right,Brandon Valenzuela,678218,Left
2024-10-21,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,1,1,3.371,1.535,126.34,146.11,2,Nolan Kingham,663884,Right,Brandon Valenzuela,678218,Left
