id,fullName,birthDate,currentAge,height,weight,POS,Birthplace,B/T
540988,Demetrio Gutierrez,14-02-1990,34,"6' 2""",185.0,P,"Los Mochis, Mexico",L/L
622603,Carlos Castro,24-05-1994,30,"6' 1""",195.0,C,"La Romana, Dominican Republic",R/R
668165,Jose Gaitan,23-02-1998,26,"6' 0""",176.0,OF,"Tijuana, Mexico",R/R
585132,Raul Carrillo,20-11-1991,32,"6' 1""",185.0,P,"Guadalajara, Mexico",R/R
701432,Orlando Gonzalez,22-11-2002,21,"6' 1""",220.0,P,"Tepatitlan, Mexico",R/R
554230,Amilcar Gaxiola,27-10-1990,34,"6' 0""",190.0,P,"Culiacan, Mexico",L/L
571328,Jovany Lopez,11-04-1991,33,"5' 10""",175.0,P,"Los Mochis, Mexico",L/L
681659,Jorge Rodriguez,25-08-2000,24,"5' 11""",171.0,P,"Ciudad Juarez, Mexico",L/L
499926,Alex Liddi,14-08-1988,36,"6' 4""",225.0,3B,"San Remo, Italy",R/R
685736,Cristian Mejia,20-07-1999,25,"6' 1""",192.0,C,"Gusave, Mexico",R/R
571531,Sergio Burruel,22-07-1991,33,"5' 11""",210.0,C,"Phoenix, USA",L/R
502515,Raul Barron,04-04-1986,38,"5' 10""",180.0,P,"Glendale, USA",S/R
678218,Brandon Valenzuela,02-10-2000,24,"6' 0""",225.0,C,"Hermosillo, Mexico",S/R
675188,Hector Villalobos,19-08-1996,28,"5' 11""",182.0,P,"San Quintin, Mexico",L/L
807587,Angel Ramirez,28-03-2005,19,"6' 2""",190.0,OF,"Chihuahua, Mexico",R/R
678499,Randy Romero,10-08-1999,25,"5' 11""",155.0,OF,"Mexicali, Mexico",R/R
672478,Jordan Diaz,13-08-2000,24,"5' 9""",175.0,2B,"Monteria, Colombia",R/R
455369,Ramiro Pena,18-07-1985,39,"5' 11""",200.0,2B,"Monterrey, Mexico",S/R
643494,A.J. Puckett,27-05-1995,29,"6' 4""",200.0,P,"Walnut Creek, USA",R/R
701063,Pablo Tellez,26-08-1999,25,"5' 9""",180.0,P,"Monclova, Mexico",R/R
663884,Nolan Kingham,18-08-1996,28,"6' 4""",210.0,P,"Las Vegas, USA",R/R
641432,Willie Calhoun,04-11-1994,29,"5' 8""",205.0,1B,"Vallejo, USA",L/R
667918,Erick Casillas,01-01-1997,27,"5' 10""",187.0,P,"Guadalajara, Mexico",R/R
465038,Alejandro Soto,13-02-1986,38,"6' 5""",230.0,P,"Huatabampo, Mexico",L/L
660604,Alan Rangel,21-08-1997,27,"6' 2""",170.0,P,"Hermosillo, Mexico",R/R
803376,Angel Camacho,12-10-2000,24,"6' 2""",176.0,IF,"Hermosillo, Mexico",R/R
694756,J.P. Woodward,13-11-1998,25,"6' 6""",215.0,P,"Red Bank, USA",L/L
650813,Luis Escobar,30-05-1996,28,"6' 1""",205.0,P,"Cartagena, Colombia",R/R
