team,season,BF,2B,3B,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,Strikes,Fstrikes,CSW,Cstr,HR,K,BB,numP,HBP,SF,H,AB,FO,R,IP,IP_corrected,1B,SLG,OBP,OPS,AVG,BABIP,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K%,BB%,K-BB%,CSW%,CStr%,F-Strike%,Str%,K/9,BB/9,H/9,R/9,HR/9,K/BB
CUL,2024,1124,28,4,1984,466,781,85,40,262,36,1,105,83,2681,656,1145,679,19,206,123,4304,14,3,225,969,169,107,266.0,266.0,174,0.328,0.326,0.654,0.232,0.278,9.3,10.8,23.5,26.2,44.2,18.6,11.0,18.3,10.9,7.4,26.6,15.8,58.4,62.3,6.969924812030075,4.161654135338346,7.612781954887218,3.6203007518796992,0.6428571428571429,1.6747967479674797
GSV,2024,1097,46,3,1875,449,749,76,52,248,40,0,105,87,2623,622,1178,729,22,216,116,4286,16,11,232,942,141,119,257.0,257.0,161,0.372,0.335,0.7070000000000001,0.246,0.303,12.2,10.5,23.9,24.2,44.7,21.0,10.1,19.7,10.6,9.1,27.5,17.0,56.7,61.2,7.56420233463035,4.062256809338521,8.124513618677042,4.167315175097277,0.7704280155642024,1.8620689655172413
HER,2024,1109,32,2,1994,508,754,61,27,276,41,3,92,95,2705,643,1204,696,13,237,96,4305,22,10,231,965,159,102,265.0,265.0,184,0.317,0.319,0.636,0.239,0.309,6.5,11.8,25.5,26.5,49.2,15.8,8.5,21.4,8.7,12.7,28.0,16.2,58.0,62.8,8.049056603773584,3.260377358490566,7.845283018867924,3.4641509433962265,0.44150943396226416,2.46875
JAL,2024,1103,41,3,1951,469,777,65,38,278,69,1,73,94,2649,627,1150,681,24,207,99,4286,20,12,237,959,159,124,254.2,254.66666666666666,169,0.371,0.327,0.698,0.247,0.297,10.5,10.9,24.0,29.3,47.9,14.3,8.5,18.8,9.0,9.8,26.8,15.9,56.8,61.8,7.31544502617801,3.49869109947644,8.37565445026178,4.382198952879581,0.8481675392670157,2.090909090909091
MAZ,2024,1113,37,2,1940,408,803,79,44,273,52,0,84,105,2749,670,1145,715,19,187,108,4224,15,8,241,974,166,124,260.1,260.3333333333333,183,0.348,0.329,0.677,0.247,0.292,8.7,9.7,21.0,27.1,47.1,15.9,9.8,16.8,9.7,7.1,27.1,16.9,60.2,65.1,6.464788732394367,3.7336747759282973,8.331626120358516,4.286811779769526,0.6568501920614597,1.7314814814814814
MOC,2024,1144,34,2,2056,509,774,82,37,266,36,3,90,99,2772,650,1195,685,14,226,129,4496,15,12,228,976,161,112,269.1,269.3333333333333,178,0.316,0.329,0.645,0.234,0.296,7.1,11.3,24.8,25.5,47.2,16.4,11.0,19.8,11.3,8.5,26.6,15.2,56.8,61.7,7.551980198019803,4.310643564356436,7.618811881188119,3.742574257425743,0.46782178217821785,1.751937984496124
MTY,2024,1170,51,6,2036,491,830,73,51,277,44,1,133,96,2704,692,1143,652,17,197,125,4408,17,14,274,998,155,154,260.1,260.3333333333333,200,0.389,0.36,0.749,0.275,0.334,8.5,11.1,24.1,24.0,44.9,22.2,8.9,16.8,10.7,6.2,25.9,14.8,59.1,61.3,6.810499359795135,4.321382842509603,9.47247119078105,5.323943661971831,0.587708066581306,1.576
MXC,2024,1067,46,3,1901,506,705,63,33,260,29,2,116,66,2677,629,1235,724,15,250,97,4298,15,11,213,929,136,114,254.0,254.0,149,0.334,0.309,0.643,0.229,0.303,9.1,11.8,26.6,23.4,46.2,21.1,9.2,23.4,9.1,14.3,28.7,16.8,59.0,62.3,8.858267716535433,3.437007874015748,7.547244094488189,4.039370078740157,0.531496062992126,2.577319587628866
NAV,2024,1154,56,2,2047,509,800,88,44,266,57,3,102,88,2772,692,1209,700,25,221,118,4508,15,16,250,993,152,147,260.1,260.3333333333333,167,0.388,0.335,0.7230000000000001,0.252,0.308,12.0,11.3,24.9,26.1,44.2,18.2,11.4,19.2,10.2,8.9,26.8,15.5,60.0,61.5,7.640204865556979,4.0793854033290655,8.642765685019207,5.081946222791293,0.8642765685019207,1.8728813559322033
OBR,2024,1036,36,6,1753,393,745,83,48,250,49,1,93,69,2466,631,1051,651,9,186,93,3911,12,7,212,910,152,90,250.2,250.66666666666666,161,0.315,0.31,0.625,0.233,0.287,4.5,10.0,22.4,27.0,42.8,18.9,11.3,18.0,9.0,9.0,26.9,16.6,60.9,63.1,6.678191489361702,3.339095744680851,7.611702127659575,3.2313829787234045,0.32313829787234044,2.0
