,team,season,G,R,2B,3B,HR,K,BB,IBB,H,HBP,AB,SB,CS,W,L,SV,SVOpp,HLD,BS,ER,BF,Str,BK,WP,TB,SF,GS,QS,IP,IP_corrected,ERA,WHIP
0,CUL,2024,112,62,17,4,11,167,93,2,163,8,761,16,5,20,4,6,7,22,1,55,877,2092,0,7,221,2,24,12,214.0,214.0,2.31,1.2
1,GSV,2024,126,93,38,2,17,175,89,4,183,9,746,16,8,12,12,5,8,19,3,83,864,2073,0,9,276,10,24,6,204.0,204.0,3.66,1.33
2,HER,2024,105,84,25,1,13,184,74,3,187,15,773,21,13,13,11,10,12,9,2,72,880,2151,1,11,253,9,24,10,210.0,210.0,3.09,1.24
3,JAL,2024,129,116,35,3,21,168,85,2,204,18,798,22,5,11,13,3,6,13,3,99,924,2196,0,11,308,12,24,7,210.2,210.66666666666666,4.23,1.37
4,MAZ,2024,124,102,29,2,16,153,85,4,193,13,774,23,6,8,16,5,9,18,4,83,886,2121,0,14,274,6,24,5,206.1,206.33333333333334,3.62,1.35
5,MOC,2024,131,90,30,1,13,190,101,5,182,12,778,26,8,16,8,8,15,23,7,81,909,2231,0,12,253,9,24,8,214.1,214.33333333333334,3.4,1.32
6,MTY,2024,132,122,42,4,16,150,107,6,213,12,789,33,12,6,18,2,7,15,5,98,934,2126,1,12,311,12,24,5,207.1,207.33333333333334,4.25,1.54
7,MXC,2024,128,85,36,2,12,203,76,3,166,11,734,22,7,13,10,10,12,27,2,79,839,2092,0,13,242,7,23,4,201.0,201.0,3.54,1.2
8,NAV,2024,129,117,44,2,18,163,92,5,192,14,786,19,3,10,14,7,12,11,5,98,915,2181,2,10,294,12,24,5,206.1,206.33333333333334,4.27,1.38
9,OBR,2024,108,70,32,5,2,145,68,4,181,9,751,17,9,10,13,6,9,11,3,60,846,1963,1,12,229,4,23,9,205.2,205.66666666666666,2.63,1.21
