Team,ER,IP_corrected,H,BB,ERA,WHIP,IP,position
Tomateros de Culiacan,33,136.66666666666666,104,66,2.1731707317073172,1.2439024390243902,136.2,SP
Algodoneros de Guasave,50,104.0,110,40,4.326923076923077,1.4423076923076923,104.0,SP
Naranjeros de Hermosillo,46,124.33333333333333,114,36,3.329758713136729,1.2064343163538875,124.1,SP
Charros de Jalisco,63,117.33333333333333,125,35,4.832386363636364,1.3636363636363638,117.1,SP
Venados de Mazatlan,47,122.0,120,39,3.4672131147540983,1.3032786885245902,122.0,SP
Caneros de los Mochis,45,114.0,89,50,3.5526315789473686,1.219298245614035,114.0,SP
Sultanes de Monterrey,53,113.66666666666667,110,44,4.196480938416422,1.3548387096774193,113.2,SP
Aguilas de Mexicali,38,111.66666666666667,90,28,3.062686567164179,1.0567164179104478,111.2,SP
Mayos de Navojoa,42,105.33333333333333,89,46,3.588607594936709,1.2816455696202533,105.1,SP
Yaquis de Obregon,38,116.0,109,38,2.9482758620689653,1.2672413793103448,116.0,SP
Tomateros de Culiacan,22,77.33333333333333,59,27,2.560344827586207,1.1120689655172415,77.1,RP
Algodoneros de Guasave,33,100.0,73,49,2.97,1.22,100.0,RP
Naranjeros de Hermosillo,26,85.66666666666667,73,38,2.731517509727626,1.2957198443579765,85.2,RP
Charros de Jalisco,38,93.33333333333333,79,50,3.664285714285714,1.3821428571428571,93.1,RP
Venados de Mazatlan,36,84.33333333333333,73,46,3.8418972332015815,1.4110671936758894,84.1,RP
Caneros de los Mochis,36,100.33333333333333,93,51,3.2292358803986714,1.435215946843854,100.1,RP
Sultanes de Monterrey,45,93.66666666666667,103,63,4.3238434163701065,1.7722419928825621,93.2,RP
Aguilas de Mexicali,41,89.33333333333333,76,48,4.130597014925374,1.3880597014925373,89.1,RP
Mayos de Navojoa,56,101.0,103,46,4.990099009900991,1.4752475247524752,101.0,RP
Yaquis de Obregon,22,89.66666666666667,72,30,2.20817843866171,1.1375464684014869,89.2,RP
